file_name,text,
0001.jpeg,tchncldrwng a technical drawing of a spiral stair with open riser in elevation from side view isolated on a white background,
0002.jpeg,tchncldrwng a technical drawing of a split stair with straight stairs in elevation from side view isolated on a white background,
0003.jpeg,tchncldrwng a technical drawing of a straight stair in elevation from side view isolated on a white background,
0004.jpeg,tchncldrwng a technical drawing of a straight stair with landing in elevation from side view isolated on a white background,
0005.jpeg,tchncldrwng a technical drawing of a straight stair in elevation from side view isolated on a white background,
0006.jpeg,tchncldrwng a technical drawing of stairs in elevation from side view isolated on a white background,
0007.jpeg,tchncldrwng a technical drawing of a straight stair in elevation from side view isolated on a white background,
0008.jpeg,tchncldrwng a technical drawing of a straight stair with landing in elevation from side view isolated on a white background,
0009.jpeg,tchncldrwng a technical drawing of stairs in U shape with 2 landings in elevation from side view isolated on a white background,
0010.jpeg,tchncldrwng a technical drawing of stairs in Z shape with 2 landing in elevation from front view isolated on a white background,
0011.jpeg,tchncldrwng a technical drawing of stairs in U shape with 2 landings in elevation from side view with a person climbing isolated on a white background,
0012.jpeg,tchncldrwng a technical drawings of stairs in U shape with 2 landings in elevation from side front view and in plan with dimensions on the landing and the each stairs isolated on a white background,
0013.jpeg,tchncldrwng a technical drawing of a spiral stair with open riser viewed from plan and in elevation where there is a person standing isolated on a white background,
0014.jpeg,tchncldrwng a technical drawing of a man climbing stairs isolated on a white background,
0015.jpeg,tchncldrwng a technical drawing of a woman climbing stairs isolated on a white background,
0016.jpeg,tchncldrwng a technical drawing of an egress stairs with handrail viewed in elevation from the side from the front and in plan with detailed dimensions isolated on a white background,
0017.jpeg,tchncldrwng a technical drawing of an egress stairs without handrail viewed in elevation from the side from the front and in plan with detailed dimensions isolated on a white background,
0018.jpeg,tchncldrwng a technical drawing of a straight stair with a handrail and a man climbing up viewed in elevation viewed from the side isolated on a white background,
0019.jpeg,tchncldrwng a set of technical drawings of a straight stair with dimensions viewed from the side in elevation from the front and in plan isolated on a white background,
0020.jpeg,tchncldrwng a technical drawing of a L shape stair viewed from the side in elvevation isolated on a white background,
0021.jpeg,tchncldrwng a set of technical drawings of a L shape stair with dimensions viewed from the side in elevation from the front and in plan isolated on a white background,
0022.jpeg,tchncldrwng a technical drawing of a straight stair with landing a handrail and a woman climbing up viewed from the side in elevation isolated on a white background,
0023.jpeg,tchncldrwng a set of technical drawings of a curved stair with dimensions viewed from plan and elevations from the side and the front isolated on a white background,
0024.jpeg,tchncldrwng a technical drawing of a U shaoe curved stair without handrail with a person climbing up viewed from the side in elevation isolated on a white background,
0025.jpeg,tchncldrwng a technical drawing of a curved stair without handrail without a person climbing viewed from the side and front in elevation and plan isolated on a white background,
0026.jpeg,tchncldrwng a technical drawing of a curved stair without handrail without a person climbing viewed from the side in elevation isolated on a white background,
0027.jpeg,tchncldrwng a technical drawing of stairs with 2 landing viewed from the side inn elevation isolated on a white background,
0028.jpeg,tchncldrwng a technical drawing of a straight stair with landing in elevation viewed from side isolated on a white background,
0029.jpeg,tchncldrwng a technical drawing of a Womb Furniture Lounge Chair with an lady silhouette sitting on it isolated on a white background,
0030.jpeg,tchncldrwng a technical drawing of a lounge chair with a man sitting on it side view isolated on a white background,
0031.jpeg,tchncldrwng a technical drawing of a Layout of a single elevator with dimensions isolated on a white background,
0032.jpeg,tchncldrwng a technical drawing of a set of 4 drawings showing an armchair from 4 different views side plan from the back and from the top isolated on a white background,
0033.jpeg,tchncldrwng a technical drawing of  a set of 3 drawings with drawings of a sliding door with a glass in the middle views from the top from the front and from the side  isolated on a white background,
0034.jpeg,tchncldrwng a technical drawing of a Single Hung Windows with a Springline size and scale Comparison isolated on a white background,
0035.jpeg,tchncldrwng a technical drawing of Layout of elevators with different sizes and capacity plus having dimensions isolated on a white background,
0036.jpeg,tchncldrwng a technical drawing of a ramp detail with the slope and different views isolated on a white background,
0037.jpeg,tchncldrwng a technical drawing of Layout of an elevator lobby with six elevators and dimensions isolated on a white background,
0038.jpeg,tchncldrwng a technical drawing of different ramp shapes Straight L-shaped and U-shaped isolated on a white background,
0039.jpeg,tchncldrwng a technical drawing of a cellar door inclined with dimensions isolated on a white background,
0040.jpeg,tchncldrwng a technical drawing of ramp slopes for pedestrians isolated on a white background,
0041.jpeg,tchncldrwng a technical drawing of a ramp for wheel chair users slope and dimensions isolated on a white background,
0042.jpeg,tchncldrwng a technical drawing of a double sashed virtical sliding window with dimensions  isolated on a white background,
0043.jpeg,tchncldrwng a technical drawing of a ramp with handrails slope and dimensions isolated on a white background,
0044.jpeg,tchncldrwng a technical drawing of a single sashed virtical sliding window with dimensions isolated on a white background,
0045.jpeg,tchncldrwng a technical drawing of interior doors with different handle isolated on a white background,
0046.jpeg,tchncldrwng a technical drawing of a double sashed vertical sliding window with dimensions  isolated on a white background,
0047.jpeg,tchncldrwng a technical drawing of layout of elevators with different sizes isolated on a white background,
0048.jpeg,tchncldrwng a technical drawing of single elevator layout with dimension and human silhouette isolated on a white background,
0049.jpeg,tchncldrwng a technical drawing of a window with an archtop and a rectangular bottom section with various dimensions showing the height width and height in various views isolated on a white background the window has an arched top with a rectangular bottom section,
0050.jpeg,tchncldrwng a technical drawing of a front view of a door with decorative details on it and information about it on the bottom isolated on a white background,
0051.jpeg,tchncldrwng a technical drawing of a leather office chair with different views and dimensions isolated on a white background,
